ax,ay,az,label
-0.6411,0.8857,-0.3140,walking
-0.7146,0.6515,-0.4971,walking
-0.7979,0.6107,-0.6320,walking
-0.7715,0.8049,-0.5289,walking
-0.7089,0.9000,-0.3456,walking
-0.6808,0.9949,-0.4124,walking
-0.5853,0.9199,-0.3341,walking
-0.5226,0.5552,-0.2751,walking
-0.5765,0.3472,-0.3633,walking
-0.5824,0.5092,-0.4852,walking
-0.5205,1.0685,-0.5369,walking
-0.4940,1.0609,-0.0099,walking
-0.4082,0.7035,0.0909,walking
-0.4623,0.4308,-0.1605,walking
-0.5847,0.1918,-0.4891,walking
-0.6055,0.2736,-0.6108,walking
-0.5886,0.5824,-0.4054,walking
-0.5568,0.8866,-0.2159,walking
-0.5461,0.8608,-0.1724,walking
-0.6124,0.6299,-0.3265,walking
-0.6656,0.5906,-0.5081,walking
-0.6459,0.7845,-0.5049,walking
-0.6390,0.8896,-0.4236,walking
-0.6241,0.8043,-0.4043,walking
-0.6021,0.9799,-0.6052,walking
-0.5386,0.9628,-0.4922,walking
-0.4230,0.6652,-0.3546,walking
-0.4647,0.3179,-0.4526,walking
-0.4811,0.5144,-0.6029,walking
-0.4597,1.0074,-0.4712,walking
-0.4845,1.0675,-0.1119,walking
-0.4392,0.8431,0.1058,walking
-0.5317,0.3972,-0.2124,walking
-0.6772,0.1234,-0.5082,walking
-0.6801,0.1569,-0.6346,walking
-0.6465,0.4769,-0.6202,walking
-0.6298,0.8572,-0.3607,walking
-0.5923,0.9250,-0.2500,walking
-0.6631,0.7084,-0.4370,walking
-0.7374,0.5809,-0.5928,walking
-0.8008,0.6586,-0.6484,walking
-0.7430,0.9254,-0.5022,walking
-0.6736,1.1917,-0.3262,walking
-0.5460,1.1844,-0.1924,walking
-0.4655,0.6782,-0.1029,walking
-0.6349,0.3138,-0.3633,walking
-0.5398,0.3701,-0.4810,walking
-0.5238,1.0104,-0.5698,walking
-0.5632,1.1025,-0.1888,walking
-0.4320,0.9534,0.1523,walking
-0.4277,0.4919,-0.2118,walking
-0.5880,0.1598,-0.5237,walking
-0.5547,0.2377,-0.6887,walking
-0.5283,0.5851,-0.3939,walking
-0.5352,0.9669,-0.1317,walking
-0.5343,0.9286,-0.1510,walking
-0.5945,0.8457,-0.3678,walking
-0.6306,0.6886,-0.6177,walking
-0.5615,0.8102,-0.7037,walking
-0.6042,1.0784,-0.5471,walking
-0.5625,1.0299,-0.3285,walking
-0.4320,0.7837,-0.3461,walking
-0.4464,0.4417,-0.4927,walking
-0.4718,0.4397,-0.4827,walking
-0.3813,0.7617,-0.3700,walking
-0.4414,0.9481,-0.2083,walking
-0.4874,0.7480,-0.1096,walking
-0.4773,0.4629,-0.3046,walking
-0.5856,0.3192,-0.4513,walking
-0.5796,0.3208,-0.5637,walking
-0.5815,0.5812,-0.5287,walking
-0.6290,0.8434,-0.4177,walking
-0.6545,0.7419,-0.4269,walking
-0.6953,0.5964,-0.4855,walking
-0.7740,0.6561,-0.5555,walking
-0.7512,0.7698,-0.4922,walking
-0.7307,0.7166,-0.3900,walking
-0.7136,0.7970,-0.5466,walking
-0.5688,0.9462,-0.4275,walking
-0.4349,0.7906,-0.2007,walking
-0.4822,0.6486,-0.2484,walking
-0.5353,0.5491,-0.5209,walking
-0.4762,0.7854,-0.5183,walking
-0.4714,0.9719,-0.1185,walking
-0.4376,0.9005,0.0895,walking
-0.4137,0.6561,-0.0953,walking
-0.5271,0.3734,-0.4407,walking
-0.5438,0.2877,-0.5608,walking
-0.5453,0.5730,-0.5104,walking
-0.5155,0.8230,-0.3585,walking
-0.5061,0.8126,-0.2815,walking
-0.5371,0.7740,-0.3979,walking
-0.5438,0.7657,-0.4294,walking
-0.5072,0.8414,-0.3502,walking
-0.5377,0.8530,-0.3455,walking
-0.5869,0.7805,-0.4061,walking
-0.5361,1.0283,-0.4954,walking
-0.4032,0.9908,-0.3904,walking
-0.3444,0.7415,-0.3092,walking
-0.4550,0.6261,-0.5007,walking
-0.4210,0.6415,-0.5210,walking
-0.4081,0.8531,-0.3336,walking
-0.4332,0.8246,-0.1405,walking
-0.4369,0.6691,-0.1531,walking
-0.4626,0.4581,-0.3207,walking
-0.5076,0.4110,-0.4083,walking
-0.4847,0.5753,-0.4907,walking
-0.5167,0.8286,-0.4183,walking
-0.5547,0.8176,-0.4266,walking
-0.6088,0.7382,-0.5160,walking
-0.6255,0.7625,-0.5646,walking
-0.6071,0.9066,-0.5359,walking
-0.5829,0.8806,-0.3987,walking
-0.6061,0.9125,-0.4437,walking
-0.5387,0.8849,-0.3280,walking
-0.3899,0.7251,-0.1991,walking
-0.4396,0.6973,-0.1949,walking
-0.4755,0.7312,-0.2775,walking
-0.4176,0.8375,-0.2927,walking
-0.4371,0.9742,-0.1869,walking
-0.4370,0.8929,-0.0746,walking
-0.4376,0.7424,-0.1818,walking
-0.4835,0.5194,-0.4971,walking
-0.5250,0.5026,-0.6333,walking
-0.5070,0.6749,-0.4971,walking
-0.4650,0.8622,-0.2202,walking
-0.4596,0.8542,-0.1503,walking
-0.4900,0.7097,-0.3003,walking
-0.5029,0.7631,-0.3815,walking
-0.4968,0.9327,-0.3962,walking
-0.5153,0.9160,-0.2788,walking
-0.5442,0.9441,-0.3693,walking
-0.4673,0.9354,-0.3829,walking
-0.3068,0.6987,-0.3193,walking
-0.4122,0.6167,-0.3781,walking
-0.4519,0.7152,-0.4650,walking
-0.3861,0.9489,-0.4913,walking
-0.4009,1.0068,-0.2545,walking
-0.4160,0.7968,-0.1062,walking
-0.4816,0.4457,-0.4098,walking
-0.5792,0.3322,-0.5364,walking
-0.5590,0.5592,-0.4502,walking
-0.4897,0.7928,-0.2599,walking
-0.5051,0.7915,-0.2745,walking
-0.5558,0.6888,-0.3953,walking
-0.6267,0.5934,-0.4978,walking
-0.6548,0.6265,-0.4647,walking
-0.6522,0.8412,-0.4257,walking
-0.6575,0.8352,-0.4430,walking
-0.6797,0.7736,-0.5482,walking
-0.6187,0.9708,-0.5662,walking
-0.4994,0.9470,-0.3068,walking
-0.4164,0.9041,-0.1301,walking
-0.4385,0.6979,-0.1852,walking
-0.4427,0.5842,-0.2723,walking
-0.4060,0.7960,-0.2465,walking
-0.4094,1.0153,-0.0858,walking
-0.4026,0.9611,-0.0382,walking
-0.4576,0.6812,-0.2291,walking
-0.5558,0.5212,-0.4631,walking
-0.5787,0.5616,-0.6042,walking
-0.5675,0.7185,-0.4625,walking
-0.5269,0.8086,-0.3475,walking
-0.4954,0.8274,-0.3071,walking
-0.4948,0.7861,-0.2969,walking
-0.4924,0.7499,-0.2936,walking
-0.4639,0.8423,-0.2627,walking
-0.4861,0.8512,-0.2797,walking
-0.5347,0.7926,-0.3940,walking
-0.4371,1.0673,-0.4188,walking
-0.3302,1.0409,-0.2330,walking
-0.3124,0.7383,-0.1694,walking
-0.4465,0.5815,-0.4680,walking
-0.4386,0.6416,-0.5587,walking
-0.3895,0.8698,-0.3707,walking
-0.4137,0.9048,-0.1333,walking
-0.4294,0.7966,-0.2418,walking
-0.4818,0.5439,-0.5146,walking
-0.5580,0.4917,-0.5142,walking
-0.5055,0.6799,-0.3743,walking
-0.4783,0.7698,-0.2657,walking
-0.5389,0.6311,-0.4148,walking
-0.5690,0.5634,-0.5587,walking
-0.5518,0.7648,-0.4957,walking
-0.5240,0.9579,-0.3605,walking
-0.5447,0.8932,-0.3004,walking
-0.5980,0.7552,-0.4133,walking
