ax,ay,az,gx,gy,gz,label
-1.552,-0.862,-1.612,4.883,179.382,293.823,1
-1.833,-0.882,-1.819,-55.847,166.016,353.699,1
-2.306,-0.624,-1.881,-111.633,158.630,410.522,1
-2.755,-0.400,-1.915,-78.491,151.428,467.773,1
-3.464,-0.205,-2.056,-70.801,140.564,524.231,1
-4.351,-0.012,-2.032,-110.901,130.493,578.186,1
-5.339,0.167,-2.183,-29.419,113.159,633.972,1
-5.941,0.043,-2.274,69.153,67.627,687.622,1
-6.531,-0.160,-2.291,211.853,-11.047,744.995,1
-7.289,-0.381,-2.382,358.887,-143.494,802.795,1
-8.000,-0.346,-2.059,471.130,-311.768,840.393,1
-8.000,-0.130,-1.623,577.271,-497.314,836.853,1
-8.000,0.029,-1.001,547.852,-652.466,793.457,1
-8.000,0.272,-0.408,465.515,-772.400,733.643,1
-8.000,0.625,0.398,466.675,-867.615,664.734,1
-8.000,1.096,1.100,477.478,-948.791,583.679,1
-8.000,1.225,1.492,557.983,-1009.155,502.624,1
-8.000,0.893,1.613,772.156,-1034.912,362.854,1
-8.000,0.668,1.822,1073.181,-1022.095,136.169,1
-8.000,0.747,1.444,1276.184,-954.712,-175.659,1
-8.000,0.677,2.009,1291.077,-813.110,-441.711,1
-8.000,-0.300,2.283,1067.322,-606.873,-639.221,1
-7.422,-0.527,1.657,616.455,-461.243,-708.679,1
-6.390,-0.496,1.448,430.908,-352.478,-716.736,1
-6.614,-0.908,1.485,429.504,-262.207,-707.519,1
-5.745,-1.231,1.074,450.073,-175.659,-691.345,1
-4.886,-1.845,0.973,421.631,-77.759,-650.391,1
-4.682,-1.937,0.857,269.165,-4.395,-584.961,1
-3.692,-2.338,1.026,210.083,49.561,-512.451,1
-3.029,-2.547,0.959,194.763,88.379,-440.124,1
-2.733,-2.326,1.156,244.080,111.328,-368.225,1
-2.602,-2.371,1.021,321.472,136.292,-292.603,1
-2.437,-2.344,0.842,314.331,160.278,-219.360,1
-1.986,-2.187,0.849,243.713,175.903,-140.686,1
-1.583,-1.965,0.916,180.908,177.979,-72.510,1
-1.251,-1.667,0.881,155.579,169.800,-15.137,1
-0.993,-1.415,0.875,212.463,156.311,32.837,1
-0.985,-1.271,0.691,246.582,138.367,77.637,1
-0.872,-1.072,0.604,222.961,121.338,114.563,1
-0.832,-0.916,0.578,183.899,103.638,148.193,1
-0.782,-0.794,0.589,161.194,88.989,172.729,1
-0.823,-0.739,0.565,170.166,76.172,191.284,1
-0.750,-0.740,0.541,195.923,61.646,206.665,1
-0.642,-0.758,0.477,195.984,47.607,220.642,1
-0.446,-0.727,0.468,184.753,33.386,233.704,1
-0.400,-0.690,0.480,161.377,22.217,242.310,1
-0.351,-0.661,0.528,138.123,15.625,246.521,1
-0.381,-0.639,0.572,118.896,13.977,246.765,1
-0.373,-0.615,0.610,101.868,16.479,243.286,1
-0.262,-0.533,0.677,90.942,21.362,237.305,1
-0.008,-0.461,0.731,91.919,28.381,231.262,1
0.077,-0.428,0.758,94.299,37.720,224.792,1
0.185,-0.359,0.821,88.806,44.556,218.567,1
0.302,-0.269,0.852,97.717,50.110,213.867,1
0.414,-0.192,0.892,118.164,54.016,208.923,1
0.512,-0.180,0.858,115.784,57.983,201.355,1
0.624,-0.132,0.829,92.468,61.646,192.444,1
0.729,-0.041,0.759,92.834,65.063,184.204,1
0.776,0.020,0.708,112.549,67.627,175.964,1
0.816,0.084,0.649,148.560,69.946,168.884,1
0.760,0.055,0.530,154.602,71.716,159.973,1
0.615,0.025,0.431,89.233,74.402,148.743,1
0.562,0.055,0.366,-1.587,75.745,139.404,1
0.950,0.107,0.173,-32.593,79.102,130.676,1
1.093,0.244,0.106,19.653,83.923,127.014,1
0.906,0.231,-0.035,63.354,86.121,126.099,1
0.816,0.213,0.022,50.659,83.435,124.146,1
0.862,0.349,0.076,40.039,81.116,120.666,1
0.935,0.529,0.147,84.290,77.820,117.249,1
0.883,0.781,0.171,172.729,73.853,107.971,1
0.958,0.886,0.145,222.168,69.946,97.717,1
0.958,1.125,0.202,235.229,65.796,81.421,1
0.979,1.474,0.281,255.188,65.857,62.500,1
0.974,1.675,0.315,255.371,68.237,42.542,1
0.948,1.759,0.375,244.385,75.012,19.043,1
0.917,1.616,0.369,187.256,84.534,-5.432,1
0.950,1.608,0.401,162.354,95.520,-29.236,1
0.936,1.488,0.396,205.200,108.154,-49.988,1
0.974,1.309,0.271,208.191,120.789,-64.270,1
0.992,1.110,0.219,202.515,131.165,-75.134,1
0.855,0.957,0.119,184.387,140.442,-84.290,1
0.787,0.867,0.045,137.329,147.400,-92.041,1
0.691,0.832,-0.047,111.389,152.039,-99.731,1
0.586,0.809,-0.139,119.751,154.358,-105.835,1
0.539,0.772,-0.253,135.498,156.555,-111.633,1
0.414,0.673,-0.306,117.493,158.630,-116.638,1
0.359,0.652,-0.399,87.219,160.217,-122.620,1
0.396,0.635,-0.522,61.157,161.133,-129.578,1
0.342,0.636,-0.640,55.908,162.292,-135.559,1
0.188,0.643,-0.666,85.266,163.696,-141.235,1
0.022,0.578,-0.749,99.609,166.321,-146.667,1
-0.070,0.531,-0.849,70.374,168.091,-152.954,1
-0.218,0.544,-0.920,59.937,168.701,-160.095,1
-0.337,0.484,-0.978,63.232,166.809,-166.504,1
-0.495,0.329,-1.027,63.660,166.138,-170.471,1
-0.662,0.161,-1.061,67.078,166.992,-172.302,1
-0.819,0.013,-1.102,81.177,168.396,-170.410,1
-0.941,-0.146,-1.151,88.379,169.800,-164.856,1
-1.068,-0.356,-1.183,84.167,170.410,-154.602,1
-1.213,-0.442,-1.292,79.102,169.800,-136.475,1
-1.245,-0.643,-1.369,82.214,169.006,-108.154,1
-1.297,-0.842,-1.579,46.692,165.649,-70.984,1
-1.407,-1.144,-1.605,8.179,158.569,-24.353,1
-1.470,-1.239,-1.779,10.620,148.376,27.466,1
-1.597,-1.400,-1.801,44.250,133.362,95.703,1
-1.830,-1.681,-1.879,63.049,114.502,175.293,1
-2.082,-1.826,-2.065,36.255,92.773,271.118,1
-2.432,-1.931,-2.114,74.036,66.589,370.178,1
-3.093,-1.903,-2.369,85.205,34.180,463.135,1
-4.000,-1.754,-2.477,122.009,-10.193,562.927,1
-4.902,-1.812,-2.421,151.489,-65.002,650.391,1
-6.408,-1.733,-2.533,188.049,-135.925,739.380,1
-7.906,-1.589,-2.398,223.877,-218.262,819.031,1
-8.000,-1.232,-2.150,274.963,-312.683,883.911,1
-8.000,-0.812,-1.860,312.073,-418.884,925.537,1
-8.000,-0.335,-1.260,376.770,-550.049,935.974,1
-8.000,0.157,-0.630,417.786,-672.607,905.029,1
-8.000,0.645,0.134,371.643,-813.049,834.351,1
-8.000,1.323,1.637,494.263,-936.096,759.582,1
-8.000,1.912,1.772,853.943,-1047.424,648.560,1
-8.000,2.499,1.274,1601.501,-1095.459,234.070,1
-8.000,1.816,1.517,1535.095,-1021.118,-239.929,1
-8.000,0.433,-0.487,1560.058,-573.364,-535.339,1
-8.000,-1.735,1.838,533.508,-442.566,-720.764,1
-5.279,0.208,1.332,722.229,-309.082,-717.041,1
-7.146,-0.811,0.933,396.728,-179.749,-707.458,1
-6.480,-0.491,1.209,194.153,-116.943,-665.100,1
-5.071,-1.469,1.265,226.746,-46.265,-621.643,1
-4.072,-1.781,1.479,181.946,15.869,-573.425,1
-3.306,-1.750,1.600,310.486,87.524,-502.563,1
-3.600,-2.049,1.412,265.015,153.503,-424.988,1
-3.243,-1.816,1.437,204.102,190.857,-361.084,1
-2.809,-1.825,1.234,185.730,217.468,-291.748,1
-2.196,-1.554,1.207,177.856,231.201,-230.652,1
-2.066,-1.434,1.185,194.824,239.868,-169.373,1
-1.610,-1.532,1.012,151.367,248.474,-112.915,1
-1.335,-1.451,1.063,129.700,253.662,-64.392,1
-0.892,-1.233,0.892,122.803,248.657,-20.691,1
-0.866,-0.995,0.835,132.874,238.525,18.494,1
-0.837,-0.890,0.716,130.249,227.600,49.133,1
-0.703,-0.696,0.681,108.398,215.454,71.655,1
-0.516,-0.558,0.667,108.032,202.759,89.905,1
-0.354,-0.414,0.667,119.141,190.613,104.187,1
-0.235,-0.257,0.681,138.123,178.650,115.662,1
-0.299,-0.138,0.658,150.574,170.227,123.108,1
-0.284,-0.063,0.611,152.832,163.879,126.892,1
-0.177,-0.050,0.569,139.709,157.410,126.526,1
0.027,-0.010,0.513,124.146,151.794,123.901,1
0.237,0.047,0.467,118.896,146.606,119.568,1
0.332,0.082,0.398,122.559,142.883,114.746,1
0.378,0.083,0.355,113.953,138.855,108.643,1
0.429,0.083,0.297,96.863,132.629,100.464,1
0.587,0.100,0.249,104.919,126.709,90.332,1
0.724,0.176,0.159,152.161,121.826,83.130,1
0.838,0.212,0.120,201.355,117.493,80.139,1
0.783,0.214,0.059,233.093,111.328,78.003,1
0.686,0.214,0.077,240.051,105.469,76.660,1
0.821,0.312,0.042,243.225,99.792,76.782,1
0.811,0.201,-0.131,237.122,94.666,76.111,1
0.873,0.247,-0.218,181.396,88.440,76.660,1
0.888,0.300,-0.242,101.746,85.205,73.608,1
0.788,0.403,-0.210,77.148,83.008,68.176,1
0.879,0.425,-0.283,89.966,81.665,62.378,1
0.890,0.504,-0.403,112.000,78.796,54.871,1
0.978,0.594,-0.434,135.254,73.303,45.410,1
1.084,0.704,-0.541,166.199,67.627,38.818,1
1.098,0.814,-0.542,203.064,60.425,31.860,1
1.009,0.845,-0.621,216.492,55.481,22.522,1
0.950,0.905,-0.679,209.167,51.636,10.376,1
0.938,0.954,-0.677,218.811,47.791,-5.432,1
0.968,0.933,-0.668,225.159,44.006,-20.752,1
0.980,0.850,-0.622,227.295,42.358,-30.640,1
1.033,0.793,-0.572,217.102,40.833,-38.757,1
1.067,0.740,-0.590,197.021,39.429,-43.701,1
1.073,0.679,-0.622,148.621,37.048,-48.462,1
1.112,0.641,-0.562,138.672,35.950,-51.575,1
1.060,0.731,-0.570,168.701,35.889,-56.152,1
1.000,0.601,-0.562,177.246,35.767,-61.646,1
1.017,0.537,-0.554,161.194,37.354,-67.078,1
0.961,0.604,-0.519,133.667,37.170,-73.975,1
0.879,0.664,-0.526,122.864,35.645,-80.261,1
0.874,0.687,-0.556,131.042,31.616,-87.769,1
0.912,0.675,-0.579,129.517,27.222,-93.018,1
0.896,0.634,-0.634,109.741,25.024,-98.328,1
0.874,0.598,-0.591,81.665,22.522,-102.600,1
0.880,0.538,-0.544,44.067,19.226,-106.873,1
0.893,0.504,-0.594,15.320,16.602,-110.474,1
0.807,0.436,-0.653,-2.136,15.015,-114.441,1
0.702,0.382,-0.684,11.047,14.038,-118.164,1
0.646,0.317,-0.688,56.946,11.292,-120.972,1
0.508,0.173,-0.691,82.153,9.277,-122.559,1
0.434,0.041,-0.723,66.711,5.615,-124.207,1
0.438,-0.007,-0.727,71.167,0.488,-123.596,1
0.449,-0.145,-0.758,95.825,-3.723,-120.605,1
