ax,ay,az,gx,gy,gz,label
-0.101,0.982,0.099,0.793,-0.549,-0.305,0
-0.098,0.980,0.102,-0.061,-0.488,-0.427,0
-0.099,0.981,0.104,0.366,-0.732,-0.488,0
-0.094,0.982,0.103,0.366,-0.854,-0.549,0
-0.098,0.977,0.104,0.854,-1.099,-0.549,0
-0.098,0.976,0.100,0.183,-0.977,-0.610,0
-0.098,0.979,0.099,-0.183,-1.099,-0.671,0
-0.099,0.981,0.102,-0.305,-1.282,-0.366,0
-0.098,0.980,0.104,0.000,-1.282,-0.183,0
-0.100,0.986,0.102,1.343,-1.160,0.000,0
-0.094,0.980,0.098,1.770,-1.465,0.183,0
-0.094,0.980,0.098,1.160,-1.038,0.305,0
-0.094,0.980,0.102,0.122,-1.282,0.549,0
-0.098,0.980,0.113,0.427,-1.343,0.610,0
-0.104,0.981,0.117,1.282,-1.404,0.610,0
-0.104,0.979,0.113,2.625,-1.343,0.671,0
-0.097,0.977,0.109,3.052,-1.282,0.610,0
-0.096,0.987,0.106,1.465,-1.160,0.305,0
-0.094,0.992,0.106,-1.648,-0.793,0.305,0
-0.100,0.990,0.109,-0.488,-0.610,0.183,0
-0.102,0.988,0.113,2.563,-0.183,-0.427,0
-0.109,0.989,0.110,2.991,0.122,-0.854,0
-0.104,0.981,0.109,-1.892,0.122,-1.648,0
-0.102,0.981,0.110,-3.479,0.122,-1.709,0
-0.098,0.979,0.115,-2.563,0.183,-1.892,0
-0.090,0.988,0.114,0.000,0.244,-1.465,0
-0.096,0.984,0.111,2.319,0.366,-1.343,0
-0.102,0.978,0.104,2.625,0.610,-1.221,0
-0.101,0.968,0.096,-0.366,0.732,-1.099,0
-0.093,0.974,0.103,-4.822,0.671,-0.671,0
-0.094,0.979,0.103,-2.014,0.732,-0.244,0
-0.095,0.978,0.101,1.282,0.854,0.366,0
-0.097,0.984,0.102,3.174,0.793,0.793,0
-0.104,0.971,0.094,1.892,0.916,0.854,0
-0.104,0.979,0.102,-2.625,0.854,0.854,0
-0.101,0.980,0.107,-2.502,0.732,1.099,0
-0.097,0.984,0.111,0.671,0.732,1.038,0
-0.102,0.979,0.109,3.113,0.732,0.916,0
-0.112,0.976,0.105,1.404,0.427,0.793,0
-0.106,0.970,0.105,-2.563,0.244,0.488,0
-0.100,0.984,0.110,-3.662,0.122,0.366,0
-0.096,0.991,0.109,-2.075,0.061,-0.122,0
-0.098,0.992,0.099,0.671,0.122,0.122,0
-0.092,0.987,0.094,-0.244,0.366,-0.244,0
-0.097,0.991,0.100,-1.770,0.488,-0.427,0
-0.093,0.987,0.104,0.305,0.854,-0.854,0
-0.105,0.985,0.109,2.808,0.671,-0.854,0
-0.106,0.981,0.102,0.244,0.732,-1.465,0
-0.101,0.979,0.102,-1.709,0.427,-1.465,0
-0.096,0.986,0.101,-0.793,0.122,-1.526,0
-0.094,0.991,0.108,1.221,0.305,-1.404,0
-0.102,0.986,0.101,2.441,0.122,-1.221,0
-0.100,0.976,0.097,2.197,-0.122,-1.282,0
-0.098,0.976,0.102,0.244,0.244,-1.404,0
-0.097,0.977,0.102,-1.770,-0.244,-1.526,0
-0.098,0.981,0.107,-1.465,-0.244,-1.099,0
-0.093,0.983,0.106,0.916,-0.244,-0.793,0
-0.092,0.980,0.101,2.808,-0.244,-0.671,0
-0.089,0.979,0.098,1.892,-0.122,-0.610,0
-0.093,0.978,0.104,-0.549,-0.244,-0.244,0
-0.096,0.981,0.108,-1.648,-0.305,-0.427,0
-0.096,0.977,0.104,-0.427,-0.427,-0.244,0
-0.093,0.977,0.101,2.502,-0.427,0.061,0
-0.095,0.979,0.101,2.808,-0.305,0.183,0
-0.093,0.982,0.102,-0.244,-0.549,0.549,0
-0.095,0.983,0.107,-2.136,-0.793,0.488,0
-0.099,0.985,0.106,0.244,-0.671,0.732,0
-0.099,0.981,0.101,1.404,-0.610,0.610,0
-0.093,0.982,0.108,0.427,-0.610,0.305,0
-0.097,0.990,0.108,1.160,-0.488,0.183,0
-0.100,0.987,0.109,2.075,-0.610,0.000,0
-0.100,0.982,0.111,2.441,-0.427,0.000,0
-0.103,0.977,0.109,2.563,-0.305,-0.305,0
-0.096,0.978,0.106,0.854,-0.488,-0.610,0
-0.092,0.980,0.109,-0.671,-0.366,-0.549,0
-0.092,0.990,0.112,-0.122,-0.366,-0.305,0
-0.096,0.987,0.114,2.502,-0.122,-0.244,0
-0.096,0.979,0.111,3.113,0.061,-0.549,0
-0.086,0.982,0.113,1.709,0.305,-0.549,0
-0.087,0.985,0.114,-0.549,0.366,-0.610,0
-0.087,0.988,0.113,-0.793,0.427,-0.549,0
-0.092,0.979,0.107,2.258,0.793,-0.427,0
-0.093,0.980,0.108,1.465,0.610,-0.427,0
-0.092,0.977,0.113,-1.831,0.977,-0.488,0
-0.099,0.977,0.112,-1.648,0.916,-0.793,0
-0.109,0.983,0.112,0.977,0.916,-0.732,0
-0.106,0.980,0.108,2.136,0.916,-0.366,0
-0.098,0.979,0.107,2.136,1.099,-0.366,0
-0.095,0.969,0.113,-0.488,1.038,-0.122,0
-0.102,0.974,0.123,-3.174,0.854,0.061,0
